ID,Name,Address,Phone,WeChat,Email,Profession,Age,Risk Status,Registration Time,Withdraw,Priority Letter,Local Registry ID,Hopsital ID
7673092765,Gaozord,Xiashi,25634154342,wxid_tzzs2yk8ldndce,3198697817@gmail.com,Actor,Children,Low risk,2022-1-1 11:00,0,0,0,021
end of half day
1273831304,Aowzq,Haizhou,35691757119,wxid_tmf3kcn9swo3va,5737183011@qq.com,Programmer,Adolescent,Medium risk,2022-1-1 19:54,0,0,2,120
2134221086,Ikupmex,Haichang,54412860499,wxid_f25fndim1yditv,2320541208@qq.com,Actor,Elderly Person,Low risk,2022-1-1 21:48,0,0,1,21
end of half day
3167343325,Nosckxgv,Haichang,47807324949,wxid_o3t1qduchevwky,7608649433@qq.com,Actor,Young Adult,No risk,2022-1-2 03:48,0,0,1,2
6742932743,Pgzxhwee,Maqiao,56643665669,wxid_9l5wkrertle8nl,9540775811@qq.com,Teacher,Adolescent,No risk,2022-1-2 05:36,0,0,2,20
end of half day
4434871302,Agcuzyt,Xiashi,53815998797,wxid_umyk9f7nzwd7co,7871779361@sina.com,Businessman,Young Adult,High risk,2022-1-2 16:54,0,0,2,1
7999658291,Ytumkfn,Maqiao,17906371013,wxid_dzb348tyibfirf,3703150900@163.com,Actor,Children,High risk,2022-1-2 17:18,0,0,1,021
5310113910,Yojh,Haichang,19179926481,wxid_kcfy2ob1scbkyi,5487896177@qq.com,Programmer,Senior,Medium risk,2022-1-2 17:24,0,0,1,12
6518141990,Vrpamp,Haizhou,92970665188,wxid_ltagdda94gp0ip,4248009776@gmail.com,Actor,Elderly Person,High risk,2022-1-2 23:12,0,0,2,01
end of half day
8205146589,Vbpxhly,Haizhou,23780833377,wxid_ekl1at3k3cxdtc,8824289384@sina.com,Journalist,Elderly Person,High risk,2022-1-3 07:54,0,0,0,102
end of half day
end of half day
3118890392,Coaow,Haichang,82767239161,wxid_38wc4opiwnqgra,6814041958@163.com,Businessman,Children,Low risk,2022-1-4 00:36,0,0,1,10
end of half day
9729380513,Ugmhjid,Haizhou,42483403436,wxid_krnruyfdjf736y,2899460466@sina.com,Businessman,Senior,Low risk,2022-1-4 15:48,0,0,0,10
8634864435,Aqskf,Haichang,63504112659,wxid_b9i8swr7nvpcjg,7655596537@sina.com,Journalist,Old Person,Medium risk,2022-1-4 17:54,0,0,0,10
9222892642,Zhhsus,Maqiao,37804172690,wxid_idvl097ridbgxs,2696694045@sina.com,Engineer,Children,No risk,2022-1-4 21:24,0,0,0,02
8908988561,Gljvym,Haichang,36625485482,wxid_ouvsiq16xpss7c,6453956250@gmail.com,Farmer,Elderly Person,Medium risk,2022-1-4 21:36,0,0,1,0
7777648274,Dvyzli,Xiashi,96612661731,wxid_uh2vao77vxztxq,9407345232@163.com,Teacher,Young Adult,No risk,2022-1-4 22:00,0,0,0,102
4658234708,Wbdixouh,Haizhou,49916772065,wxid_biq7pjiz70autz,3386025327@gmail.com,Businessman,Senior,Medium risk,2022-1-4 22:18,0,0,0,01
end of half day
6668840585,Lwsyt,Haichang,16577057894,wxid_9t5wcjwc1ksmrd,9111250719@sina.com,Businessman,Old Person,No risk,2022-1-5 03:42,0,0,0,120
1760880935,Ebhlouvb,Haichang,13879998746,wxid_chdz6a1ld6lnln,5367739310@qq.com,Businessman,Adult,High risk,2022-1-5 04:00,0,0,1,20
3039822531,Lxnt,Haichang,51490577298,wxid_wy6p3ktgkgmw0c,7234779640@163.com,Engineer,Adolescent,High risk,2022-1-5 07:24,0,0,1,012
end of half day
end of half day
7999658291,Ytumkfn,Maqiao,17906371013,wxid_dzb348tyibfirf,3703150900@163.com,Actor,Children,High risk,2022-1-6 08:30,1,0,1,021
3546889218,Vlxuzm,Xiashi,56908676935,wxid_a893itpjisermc,7915263619@sina.com,Farmer,Adolescent,Medium risk,2022-1-6 08:42,0,0,0,012
3757677807,Cwvcdupk,Maqiao,93339647908,wxid_8n1gmlii4atwdn,2282746178@qq.com,Businessman,Adult,Medium risk,2022-1-6 10:24,0,0,0,120
end of half day
5776183036,Brgzofv,Haizhou,54536521672,wxid_pm9uqnf99odedi,9628411146@gmail.com,Programmer,Old Person,High risk,2022-1-6 13:00,0,0,0,12
